ID Marca,Modelo,RAM_GB,ROM_GB,Calificaciones,Rese–as,Estrellas,Precio de lista,Precio de venta
10,"Redmi 8 (Onyx Black, 64 GB)",4,64,674638,50064,4.4,10999,9999
9,"Realme 5i (Forest Green, 64 GB)",4,64,243106,16497,4.5,10999,10999
9,"Realme 5i (Aqua Blue, 64 GB)",4,64,243106,16497,4.5,10999,10999
10,"Redmi 8 (Sapphire Blue, 64 GB)",4,32,674638,50064,4.4,10999,9999
8,"POCO X2 (Matrix Purple, 128 GB)",6,64,133486,14732,4.5,19999,18499
8,"POCO X2 (Atlantis Blue, 64 GB)",6,64,133486,14732,4.5,18999,17499
9,"Realme 6 (Comet Blue, 64 GB)",6,64,30619,3002,4.4,17999,15999
8,"POCO X2 (Atlantis Blue, 128 GB)",6,64,133486,14732,4.5,19999,18499
9,"Realme C11 (Rich Green, 32 GB)",2,128,17476,1209,4.6,8999,7499
9,"Realme C11 (Rich Grey, 32 GB)",2,32,17476,1209,4.6,8999,7499
9,"Realme Narzo 10A (So White, 32 GB)",3,32,42968,2926,4.6,9999,8999
9,"Realme Narzo 10A (So Blue, 64 GB)",4,64,17313,1129,4.6,10999,9999
9,"Realme Narzo 10A (So White, 64 GB)",4,32,17313,1129,4.6,10999,9999
9,"Realme Narzo 10A (So Blue, 32 GB)",3,64,42968,2926,4.6,9999,8999
8,"POCO X2 (Matrix Purple, 64 GB)",6,64,133486,14732,4.5,18999,17499
9,"Realme 6 (Comet White, 64 GB)",6,64,30619,3002,4.4,17999,15999
1,"Apple iPhone XR (Black, 64 GB)",0,32,11572,975,4.6,52500,46999
3,"Infinix S5 Pro (Violet, 64 GB)",4,64,12764,1149,4.5,12999,11499
5,"Motorola G8 Power Lite (Royal Blue, 64 GB)",4,64,27992,2199,4.4,9999,9499
9,"Realme 6 Pro (Lightning Blue, 64 GB)",6,16,27363,2887,4.5,17999,17999
9,"Realme 6 Pro (Lightning Orange, 64 GB)",6,64,27363,2887,4.5,17999,17999
3,"Infinix Hot 9 Pro (Ocean Wave, 64 GB)",4,64,17040,1232,4.5,12999,10499
3,"Infinix Hot 9 Pro (Violet, 64 GB)",4,64,17040,1232,4.5,12999,10499
5,"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4,64,27992,2199,4.4,9999,9499
5,"Motorola G8 Power Lite (Arctic Blue, 64 GB)",4,64,27992,2199,4.4,9999,9499
1,"Apple iPhone SE (White, 64 GB)",0,64,12954,1298,4.5,42500,40999
7,"OPPO A9 2020 (Space Purple, 128 GB)",4,64,31725,2948,4.3,18990,13990
7,"OPPO A9 2020 (Marine Green, 128 GB)",4,128,31725,2948,4.3,18990,13990
9,"Realme 6 Pro (Lightning Blue, 128 GB)",6,128,27363,2887,4.5,18999,18999
1,"Apple iPhone SE (Black, 64 GB)",0,32,12954,1298,4.5,42500,40999
1,"Apple iPhone XR ((PRODUCT)RED, 64 GB)",0,64,11572,975,4.6,52500,46999
10,"Redmi Note 8 Pro (Electric Blue, 128 GB)",6,64,55815,4614,4.4,17999,16999
1,"Apple iPhone SE (Red, 64 GB)",0,128,12954,1298,4.5,42500,40999
12,"Vivo Y15 (Burgundy Red, 64 GB)",4,64,20969,1505,4.4,15990,12990
12,"Vivo Y15 (Aqua Blue, 64 GB)",4,64,20969,1505,4.4,15990,12990
10,"Redmi 8A Dual (Sea Blue, 64 GB)",3,64,974,71,4.3,9750,9750
10,"Redmi 8A Dual (Sea Blue, 32 GB)",2,64,1246,81,4.2,8320,8320
10,"Redmi 8A Dual (Sky White, 32 GB)",2,64,1246,81,4.2,8499,8249
12,"Vivo Y12 (Aqua Blue, 64 GB)",3,64,13266,981,4.4,13990,10990
12,"Vivo Y12 (Burgundy Red, 64 GB)",3,16,13266,981,4.4,13990,10990
7,"OPPO A5s (Blue, 32 GB)",2,32,5815,438,4.3,12990,8990
7,"OPPO A5s (Black, 64 GB)",4,32,5365,394,4.3,15990,10990
10,"Redmi Note 8 Pro (Halo White, 128 GB)",6,64,55815,4614,4.4,17999,16999
1,"Apple iPhone SE (Black, 128 GB)",0,64,12954,1298,4.5,47800,45999
9,"Realme 6 Pro (Lightning Orange, 128 GB)",6,64,27363,2887,4.5,18999,18999
7,"OPPO A31 (Mystery Black, 64 GB)",4,32,9454,665,4.3,12990,12490
7,"OPPO A31 (Fantasy White, 64 GB)",4,64,9454,665,4.3,12990,12490
1,"Apple iPhone XR (Blue, 64 GB)",0,128,11572,975,4.6,52500,46999
1,"Apple iPhone XR (Blue, 64 GB)",0,64,11572,975,4.6,52500,46999
2,"I Kall K6 (Red, 32 GB)",4,64,615,57,3,7299,6699
12,"Vivo Y11 (Agate Red, 32 GB)",3,64,4744,268,4.4,9990,9990
12,"Vivo Y11 (Mineral Blue, 32 GB)",3,128,4744,268,4.4,9990,9990
12,"Vivo U10 (Electric Blue, 32 GB)",3,128,34333,2395,4.4,10990,10990
2,"I Kall K1000 (Blue, 64 GB)",4,32,840,111,2.9,7699,7699
12,"Vivo U10 (Thunder Black, 32 GB)",3,64,34333,2395,4.4,10990,10990
8,"POCO X2 (Atlantis Blue, 256 GB)",8,64,42062,4824,4.5,22999,21499
10,"Redmi Note 8 Pro (Shadow Black, 128 GB)",6,128,55815,4614,4.4,17999,16999
9,"Realme 6 (Comet White, 128 GB)",6,64,30620,3002,4.4,16999,16999
7,"OPPO A9 2020 (Space Purple, 128 GB)",8,64,11436,977,4.3,21990,15990
2,"I Kall K220 (Blue, 16 GB)",2,64,58,3,3.1,5699,5499
7,"OPPO A9 2020 (Marine Green, 128 GB)",8,64,11436,977,4.3,21990,15990
3,"Infinix Smart 4 Plus (Violet, 32 GB)",3,64,53,5,4.2,9999,7999
3,"Infinix Smart 4 Plus (Ocean Wave, 32 GB)",3,64,53,5,4.2,9999,7999
2,"I Kall K400 (Blue, 64 GB)",4,16,512,47,2.8,7299,7299
3,"Infinix Smart 4 Plus (Midnight Black, 32 GB)",3,32,53,5,4.2,9999,7999
7,"OPPO A12 (Black, 32 GB)",3,32,10388,761,4.3,10990,9990
7,"OPPO A12 (Blue, 64 GB)",4,64,666,32,4.4,11990,11490
7,"OPPO A12 (Blue, 32 GB)",3,64,10388,761,4.3,10990,9990
7,"OPPO A12 (Black, 64 GB)",4,64,666,32,4.4,11990,11490
7,"OPPO A5s (Green, 64 GB)",4,32,5365,394,4.3,15990,10990
7,"OPPO A5s (Gold, 64 GB)",4,64,5365,394,4.3,15990,10990
9,"Realme Narzo 10 (That Green, 128 GB)",4,128,74661,5759,4.5,12999,11999
12,"Vivo Z1x (Fusion Blue, 64 GB)",6,128,146650,15652,4.4,19990,16990
2,"I Kall K6 (Red, 32 GB)",4,32,615,57,3,7299,6699
12,"Vivo Z1x (Phantom Purple, 64 GB)",6,128,146650,15652,4.4,19990,16990
12,"Vivo Z1x (Fusion Blue, 128 GB)",8,32,19380,2042,4.4,24990,18990
6,Nokia 105 SS,4,64,75730,7229,4.3,1299,1299
1,"Apple iPhone 7 Plus (Black, 32 GB)",0,64,27442,2853,4.5,37900,34999
9,"Realme 6 (Comet White, 128 GB)",8,128,23466,2363,4.4,17999,17999
2,"I Kall K1000 (Blue, 64 GB)",4,64,840,111,2.9,7699,7699
11,"Tecno Spark Power 2 (Misty Grey, 64 GB)",4,4,9603,1157,4.4,11999,9999
9,"Realme Narzo 10 (That White, 128 GB)",4,32,74661,5759,4.5,12999,11999
9,"Realme Narzo 10 (That Blue, 128 GB)",4,128,74661,5759,4.5,12999,11999
2,"I Kall K220 (Blue, 16 GB)",2,16,58,3,3.1,5699,5499
7,"OPPO F15 (Unicorn White, 128 GB)",8,64,10277,936,4.4,22990,18990
7,"OPPO F15 (Blazing Blue, 128 GB)",8,128,10277,936,4.4,22990,18990
10,"Redmi Note 8 Pro (Shadow Black, 128 GB)",8,128,7137,621,4.4,19999,18999
12,"Vivo Y91i (Fusion Black, 32 GB)",2,128,21196,1445,4.3,9990,7990
12,"Vivo Y91i (Ocean Blue, 32 GB)",2,128,21196,1445,4.3,9990,7990
2,"I Kall K400 (Blue, 64 GB)",4,64,512,47,2.8,7299,7299
12,"Vivo S1 Pro (Mystic Black, 128 GB)",8,128,11571,891,4.4,20990,19990
11,"Tecno Camon 15 (Fascinating Purple, 64 GB)",4,32,2219,238,4.2,12499,11499
11,"Tecno Camon 15 (SHOAL GOLD, 64 GB)",4,32,2219,238,4.2,12499,11499
12,"Vivo Y30 (Emerald Black, 128 GB)",4,32,604,44,4.3,18990,14990
12,"Vivo Y30 (Dazzle Blue, 128 GB)",4,128,604,44,4.3,18990,14990
1,"Apple iPhone XR (White, 128 GB)",0,64,11572,975,4.6,57800,52999
9,"Realme C3 (Blazing Red, 32 GB)",3,32,67430,5102,4.5,8999,8999
9,"Realme C3 (Frozen Blue, 32 GB)",3,32,67430,5102,4.5,8999,8999
9,"Realme C3 (Frozen Blue, 64 GB)",4,64,117862,8088,4.5,9999,9999
2,"I Kall K6 (Red, 32 GB)",4,32,615,57,3,7299,6699
9,"Realme C2 (Diamond Blue, 32 GB)",2,32,805006,66292,4.4,7999,6999
9,"Realme C2 (Diamond Black, 32 GB)",2,32,805006,66292,4.4,7999,6999
9,"Realme C2 (Diamond Black, 32 GB)",3,32,133935,10009,4.4,8999,7499
2,"I Kall K1000 (Blue, 64 GB)",4,64,840,111,2.9,7699,7699
3,"Infinix S5 Pro (Forest Green, 64 GB)",4,64,12764,1149,4.5,12999,11499
9,"Realme C2 (Diamond Sapphire, 32 GB)",3,32,133935,10009,4.4,8999,7499
9,"Realme C2 (Diamond Ruby, 32 GB)",3,32,133935,10009,4.4,8999,7499
2,"I Kall K220 (Blue, 16 GB)",2,16,58,3,3.1,5699,5499
9,"Realme C2 (Diamond Blue, 32 GB)",3,32,133935,10009,4.4,8999,7499
3,"Infinix S5 Pro (Sea Blue, 64 GB)",4,64,12764,1149,4.5,12999,11499
9,"Realme 6 (Comet Blue, 64 GB)",4,64,59665,6337,4.4,14999,14999
2,"I Kall K400 (Blue, 64 GB)",4,64,512,47,2.8,7299,7299
9,"Realme 6 (Comet White, 64 GB)",4,64,59665,6337,4.4,14999,14999
10,"Redmi 8A Dual (Midnight Grey, 32 GB)",3,32,974,71,4.3,7999,7790
9,"Realme 6 Pro (Lightning Orange, 128 GB)",6,128,27365,2887,4.5,18999,18999
4,Lava 34 Plus,32,32,361,34,4.1,1699,1699
9,"Realme 6 (Comet Blue, 128 GB)",6,128,30622,3002,4.4,16999,16999
9,"Realme 6 Pro (Lightning Orange, 128 GB)",8,128,14361,1671,4.4,19999,19999
2,I Kall K14 New,32,64,7229,822,3.4,609,609
1,"Apple iPhone XR (White, 64 GB)",0,64,11572,975,4.6,52500,46999